2017-11-07 00:00:00	{"temperature":100}	
2017-11-07 00:08:20	{"temperature":55}	
2017-11-07 00:16:40	{"temperature":9}	
2017-11-07 00:25:00	{"temperature":76}	
2017-11-07 00:33:20	{"temperature":52}	
2017-11-07 00:41:40	{"temperature":88}	
2017-11-07 00:50:00	{"temperature":75}	
2017-11-07 00:58:20	{"temperature":57}	
2017-11-07 01:06:40	{"temperature":3}	
2017-11-07 01:15:00	{"temperature":52}	
2017-11-07 01:23:20	{"temperature":14}	
2017-11-07 01:31:40	{"temperature":77}	
2017-11-07 01:40:00	{"temperature":86}	
2017-11-07 01:48:20	{"temperature":98}	
2017-11-07 01:56:40	{"temperature":72}	
2017-11-07 02:05:00	{"temperature":19}	
2017-11-07 02:13:20	{"temperature":12}	
2017-11-07 02:21:40	{"temperature":65}	
2017-11-07 02:30:00	{"temperature":23}	
2017-11-07 02:38:20	{"temperature":25}	
2017-11-07 02:46:40	{"temperature":74}	
2017-11-07 02:55:00	{"temperature":17}	
2017-11-07 03:03:20	{"temperature":90}	
2017-11-07 03:11:40	{"temperature":50}	
2017-11-07 03:20:00	{"temperature":17}	
2017-11-07 03:28:20	{"temperature":49}	
2017-11-07 03:36:40	{"temperature":26}	
2017-11-07 03:45:00	{"temperature":83}	
2017-11-07 03:53:20	{"temperature":56}	
2017-11-07 04:01:40	{"temperature":19}	
2017-11-07 04:10:00	{"temperature":92}	
2017-11-07 04:18:20	{"temperature":78}	
2017-11-07 04:26:40	{"temperature":71}	
2017-11-07 04:35:00	{"temperature":94}	
2017-11-07 04:43:20	{"temperature":52}	
2017-11-07 04:51:40	{"temperature":31}	
2017-11-07 05:00:00	{"temperature":98}	
2017-11-07 05:08:20	{"temperature":74}	
2017-11-07 05:16:40	{"temperature":6}	
2017-11-07 05:25:00	{"temperature":58}	
2017-11-07 05:33:20	{"temperature":3}	
2017-11-07 05:41:40	{"temperature":3}	
2017-11-07 05:50:00	{"temperature":3}	
2017-11-07 05:58:20	{"temperature":26}	
2017-11-07 06:06:40	{"temperature":75}	
2017-11-07 06:15:00	{"temperature":21}	
2017-11-07 06:23:20	{"temperature":76}	
2017-11-07 06:31:40	{"temperature":48}	
2017-11-07 06:40:00	{"temperature":44}	
2017-11-07 06:48:20	{"temperature":8}	
2017-11-07 06:56:40	{"temperature":45}	
2017-11-07 07:05:00	{"temperature":67}	
2017-11-07 07:13:20	{"temperature":20}	
2017-11-07 07:21:40	{"temperature":100}	
2017-11-07 07:30:00	{"temperature":54}	
2017-11-07 07:38:20	{"temperature":16}	
2017-11-07 07:46:40	{"temperature":2}	
2017-11-07 07:55:00	{"temperature":63}	
2017-11-07 08:03:20	{"temperature":67}	
2017-11-07 08:11:40	{"temperature":43}	
2017-11-07 08:20:00	{"temperature":27}	
2017-11-07 08:28:20	{"temperature":33}	
2017-11-07 08:36:40	{"temperature":56}	
2017-11-07 08:45:00	{"temperature":75}	
2017-11-07 08:53:20	{"temperature":34}	
2017-11-07 09:01:40	{"temperature":59}	
2017-11-07 09:10:00	{"temperature":88}	
2017-11-07 09:18:20	{"temperature":5}	
2017-11-07 09:26:40	{"temperature":9}	
2017-11-07 09:35:00	{"temperature":74}	
2017-11-07 09:43:20	{"temperature":26}	
2017-11-07 09:51:40	{"temperature":64}	
2017-11-07 10:00:00	{"temperature":22}	
2017-11-07 10:08:20	{"temperature":61}	
